Assets,01-04-2025,01-03-2025
 Real Estate ," 10,00,000 "," 10,00,000 "
 Jewelry ," 2,00,000 "," 2,00,000 "
 Cars ," 5,50,000 "," 5,50,000 "
 Savings a/c ," 5,00,000 "," 4,50,000 "
 PF ," 4,07,000 "," 4,22,000 "
 Stocks ," 12,73,866 "," 17,73,866 "
 Mutual Funds ," 30,319 "," 60,319 "
,,
 Total Assets: ," 39,61,185 "," 44,56,185 "
,,
,,
Liabilities,01-04-2025,01-03-2025
 Credit Card Debt ," -21,212 "," -10,000 "
 Personal Loan ," -14,41,691 "," -14,11,691 "
 Home Loan ," -7,45,543 "," -7,35,543 "
,,
 Total Liabilities: ," -22,08,446 "," -21,57,234 "
,,
 Total Net Worth: ," 17,52,739 "," 22,98,951 "
" Total Net Worth
 Exl (RE+JW+Cars): "," 2,739 "," 5,48,951 "
,,
,,
,,
 Daily P&L ,,
 Date , Unrealized P&L , Realized P&L 
11-04-2025," 41,214 ", -   
